1994,And If Venice Is Sinking,Folk/Roots,Mann| J.| & Kelly| G.; REC: Spirit Of The West
1945,And The Angels Swing,Jazz,Getz| Stan; REC: Stan Getz; Bishop Boys; Brian Ogilvie; Dave Pell
1976,And The Band Played Waltzing Matilda,Folk/Roots,Bogle| Eric; REC: Eric Bogle; The Bushwackers; June Tabor; John McDermott; The Dubliners; Tommy Makem; Danny Doyle; The Pogues; Laggan; Priscilla Hardman
1912,And The Green Grass Grew All Around,Musical/Film,Von Tilzer| H.| & Jerome| W.; REC: Walter Van Brunt
1966,And When I Die,Rock/Pop,Nyro| L.| & Sears| J.; REC: Laura Nyro; Blood| Sweat & Tears
1984,Androgynous,Rock/Pop,Westerberg| Paul; REC: The Replacements
1997,Angel,Rock/Pop,McLachlan| Sarah; REC: Sarah McLachlan
1953,Angel Eyes,Jazz,Dennis| M.| & Brent| E. K.; REC: Ella Fitzgerald; Nat King Cole; Wes Montgomery; Anita O'Day; June Christy; Benny Carter; The Modern Jazz Quartet; John Coltrane; Frank Sinatra; Chet Baker; Shirley Bassey; Bobby Timmons; Nancy Wilson; Roberta Flack; Stephane Grappelli
1980,Angel Flying Too Close To The Ground,Country/Bluegrass,Nelson| Willie; REC: Willie Nelson; Jerry Butler; Kelley Deal; Gary Floyd; Hank Cochran; Pamela McNeill
1971,Angel From Montgomery,Folk/Roots,Prine| John; REC: John Prine; Bonnie Raitt
1998,Angel In Manhattan,Folk/Roots,Paul| Ellis; REC: Ellis Paul
1952,Angel Of Death, The,Gospel,Williams| Sr.| Hank; REC: Hank Williams| Sr.
1967,Angel Of The Morning,Country/Bluegrass,Taylor| Chip; REC: Juice Newton; Skeeter Davis; Nina Simone; Merilee Rush
1997,Angels,Rock/Pop,Williams| R.| & Chambers| G.; REC: Robbie Williams
1963,Angi,Folk/Roots,Graham| Davy; REC: Bert Jansch; Davy Graham
1973,Angie,Rock/Pop,Jagger| M.| & Richards| K.; REC: The Rolling Stones
1946,Anniversary Song, The,Musical/Film,Chaplin| Saul; REC: Al Jolson
1993,Anniversary Song, The,Rock/Pop,Timmins| Michael; REC: Cowboy Junkies
1979,Another Brick In The Wall (Part 2),Rock/Pop,Waters| Roger; REC: Pink Floyd
1980,Another One Bites The Dust,Dance/Electronica,Deacon| John; REC: Queen
1993,Another Sad Love Song,R & B/Soul,Babyface| & Simmons| D.; REC: Toni Braxton
1963,Another Saturday Night,R & B/Soul,Cooke| Sam; REC: Sam Cooke; Sam & Dave; Cat Stevens
1999,Another World,Dance/Electronica,Haviv| H.| Nissin| A.| & Sebbag| G.; REC: Astral Projection
1954,Answer Me, My Love,Jazz,Winkler| G.| Rauch| F.| & Sigman| C.; REC: Nat King Cole; Joni Mitchell; The Impressions; Eddie Arnold; Marty Robbins; Etta Jones; Bing Crosby; Frankie Laine; Don Shirley; Marcus Roberts; Gene Pitney
1997,Answering Machine,Dance/Electronica,Green Velvet; REC: Green Velvet; Steve Lawler
1992,Anthem,Rock/Pop,Cohen| Leonard; REC: Leonard Cohen
1945,Anthropology,Jazz,Parker| C.| & Gilespie| D.; REC: Charlie Parker; Dizzy Gillespie; Claude Thornhill; Fats Navarro; Art Pepper; Sheila Jordan; Houston Person; Hank Jones; Keith Copeland; Tom Cohen; Max Roach; Gil Evans; Milt Jackson; Phil Woods
1932,Any Old Time,Country/Bluegrass,Rodgers| Jimmie; REC: Jimmie Rodgers; Ernest Tubb; Hank Snow; Webb Pierce; George Jones; Doc Watson; Merle Travis; Alison Krauss; Steve Forbert; Gene Autry; Fats Domino
1937,Any Old Time,Jazz,Shaw| Artie; REC: Billie Holiday with Artie Shaw; Tommy Dorsey; Ella Fitzgerald; Carmen McRae;
1946,Any Place I Hang My Hat Is Home,Musical/Film,Arlen| H.| & Mercer| J.; REC: Judy Garland; Jo Stafford; Lena Horne; Barbra Streisand
1948,Any Time,Musical/Film,Lawson| Herbert H.; REC: Eddy Arnold
1964,Anyone Who Had A Heart,R & B/Soul,Bacharach| B.| & David| H.; REC: Dionne Warwick; Cilla Black
1934,Anything Goes,Jazz,Porter| Cole; REC: Ethel Merman; Tony Bennett
1946,Anything You Can Do,Musical/Film,Berlin| Irving; REC: Ethel Merman & Ray Middleton; Betty Hutton & Howard Keel
1960,Apache,Rock/Pop,Lordan| Jerry; REC: The Shadows; Jorgen Ingmann
1982,Apache,Hip-Hop,Robinson| S.| Chase| J.| Cook| C.| & Wright| M.; REC: The Sugarhill Gang
1997,Appletree,R & B/Soul,Badu| E.| & Bradford| R.; REC: Erykah Badu
1998,April Fools,Rock/Pop,Wainwright| Rufus; REC: Rufus Wainwright
1932,April In Paris,Jazz,Duke| V.| & Harburg| E. Y.; REC: Count Basie; Louis Armstrong; Ella Fitzgerald; Billie Holiday; Sarah Vaughan; Coleman Hawkins; Wynton Marsalis; Benny Golson
1927,April Kisses,Jazz,Lang| Eddie; REC: Eddie Lang; Bucky Pizzarelli
1921,April Showers,Musical/Film,Silvers| L.| & De Sylva| B. G.; REC: Al Jolson
1978,Aqua Boogie (A Psychoalphadisco-betabioaquadoloop),R & B/Soul,Clinton| G.| Worrell| B.| & Collins| B.; REC: Parliament
1968,Aquarius,Musical/Film,MacDermot| G.| Ragni| G.| & Rado| J.; REC: Original Broadway Cast| Hair; Chet Atkins; George Shearing
1998,Aquemini,Hip-Hop,Benjamin| A.| & Patton| A. A.; REC: OutKast
